title,price,category,rating,availability
A Light in the Attic,51.77,Poetry,Three,In stock (22 available)
Tipping the Velvet,53.74,Historical Fiction,One,In stock (20 available)
Soumission,50.1,Fiction,One,In stock (20 available)
Sharp Objects,47.82,Mystery,Four,In stock (20 available)
Sapiens: A Brief History of Humankind,54.23,History,Five,In stock (20 available)
The Requiem Red,22.65,Young Adult,One,In stock (19 available)
The Dirty Little Secrets of Getting Your Dream Job,33.34,Business,Four,In stock (19 available)
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Default,Three,In stock (19 available)
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Default,Four,In stock (19 available)
The Black Maria,52.15,Poetry,One,In stock (19 available)
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Default,Two,In stock (19 available)
Shakespeare's Sonnets,20.66,Poetry,Four,In stock (19 available)
Set Me Free,17.46,Young Adult,Five,In stock (19 available)
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Sequential Art,Five,In stock (19 available)
Rip it Up and Start Again,35.02,Music,Five,In stock (19 available)
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Music,Three,In stock (19 available)
Olio,23.88,Poetry,One,In stock (19 available)
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,Science Fiction,One,In stock (19 available)
Libertarianism for Beginners,51.33,Politics,Two,In stock (19 available)
It's Only the Himalayas,45.17,Travel,Two,In stock (19 available)
In Her Wake,12.84,Thriller,One,In stock (19 available)
How Music Works,37.32,Music,Two,In stock (19 available)
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,Food and Drink,Three,In stock (19 available)
Chase Me (Paris Nights #2),25.27,Romance,Five,In stock (19 available)
Black Dust,34.53,Romance,Five,In stock (19 available)
Birdsong: A Story in Pictures,54.64,Childrens,Three,In stock (19 available)
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,Default,Three,In stock (19 available)
Aladdin and His Wonderful Lamp,53.13,Default,Three,In stock (19 available)
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,Nonfiction,Five,In stock (18 available)
Wall and Piece,44.18,Art,Four,In stock (18 available)
The Four Agreements: A Practical Guide to Personal Freedom,17.66,Spirituality,Five,In stock (18 available)
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,Nonfiction,Three,In stock (18 available)
The Elephant Tree,23.82,Thriller,Five,In stock (18 available)
The Bear and the Piano,36.89,Childrens,One,In stock (18 available)
Sophie's World,15.94,Philosophy,Five,In stock (18 available)
Penny Maybe,33.29,Default,Three,In stock (18 available)
Maude (1883-1993):She Grew Up with the country,18.02,Default,Two,In stock (18 available)
"In a Dark, Dark Wood",19.63,Mystery,One,In stock (18 available)
Behind Closed Doors,52.22,Thriller,Four,In stock (18 available)
You can't bury them all: Poems,33.63,Poetry,Two,In stock (17 available)
Slow States of Collapse: Poems,57.31,Poetry,Three,In stock (17 available)
Reasons to Stay Alive,26.41,Nonfiction,Two,In stock (17 available)
Private Paris (Private #10),47.61,Fiction,Five,In stock (17 available)
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Nonfiction,Five,In stock (17 available)
Without Borders (Wanderlove #1),45.07,New Adult,Two,In stock (16 available)
When We Collided,31.77,Contemporary,One,In stock (16 available)
"We Love You, Charlie Freeman",50.27,Fiction,Five,In stock (16 available)
Untitled Collection: Sabbath Poems 2014,14.27,Poetry,Four,In stock (16 available)
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,Nonfiction,Four,In stock (16 available)
Unicorn Tracks,18.78,Fantasy,Three,In stock (16 available)
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,History,One,In stock (16 available)
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,Sequential Art,One,In stock (16 available)
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Nonfiction,Three,In stock (16 available)
This One Summer,19.49,Sequential Art,Four,In stock (16 available)
Thirst,17.27,Fiction,Five,In stock (16 available)
The Torch Is Passed: A Harding Family Story,19.09,Add a comment,One,In stock (16 available)
The Secret of Dreadwillow Carse,56.13,Childrens,One,In stock (16 available)
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,Food and Drink,One,In stock (16 available)
The Past Never Ends,56.5,Mystery,Four,In stock (16 available)
The Natural History of Us (The Fine Art of Pretending #2),45.22,Young Adult,Three,In stock (16 available)
The Nameless City (The Nameless City #1),38.16,Sequential Art,Four,In stock (16 available)
The Murder That Never Was (Forensic Instincts #5),54.11,Fiction,Three,In stock (16 available)
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,Science,Four,In stock (16 available)
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,Add a comment,Four,In stock (16 available)
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,Nonfiction,Three,In stock (16 available)
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,Default,Five,In stock (16 available)
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,Nonfiction,One,In stock (16 available)
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,Nonfiction,One,In stock (16 available)
The Death of Humanity: and the Case for Life,58.11,Philosophy,Four,In stock (16 available)
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,Health,Three,In stock (16 available)
The Art Forger,40.76,Add a comment,Three,In stock (16 available)
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,History,One,In stock (16 available)
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,Spirituality,Five,In stock (16 available)
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,Nonfiction,Four,In stock (16 available)
Soul Reader,39.58,Default,Two,In stock (16 available)
Security,39.25,Horror,Two,In stock (16 available)
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,Fantasy,Three,In stock (16 available)
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,Sequential Art,Two,In stock (16 available)
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,Nonfiction,Two,In stock (16 available)
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,Sequential Art,Three,In stock (16 available)
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,Sequential Art,Five,In stock (16 available)
Princess Between Worlds (Wide-Awake Princess #5),13.34,Fantasy,Five,In stock (16 available)
"Pop Gun War, Volume 1: Gift",18.97,Sequential Art,One,In stock (16 available)
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,History,Two,In stock (16 available)
Patience,10.16,Sequential Art,Three,In stock (16 available)
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,Sequential Art,Four,In stock (16 available)
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,Sequential Art,One,In stock (16 available)
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,Self Help,One,In stock (16 available)
On a Midnight Clear,14.07,Add a comment,Three,In stock (16 available)
Obsidian (Lux #1),14.86,Young Adult,Two,In stock (16 available)
My Paris Kitchen: Recipes and Stories,33.37,Food and Drink,Two,In stock (16 available)
Masks and Shadows,56.4,Fantasy,Two,In stock (16 available)
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,Food and Drink,Four,In stock (16 available)
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,Sequential Art,Two,In stock (16 available)
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,Sequential Art,Three,In stock (16 available)
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,Sequential Art,Two,In stock (16 available)
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,Food and Drink,One,In stock (16 available)
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,Add a comment,Two,In stock (16 available)
Join,35.67,Science Fiction,Five,In stock (16 available)
In the Country We Love: My Family Divided,22.0,Nonfiction,Four,In stock (16 available)
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,Science,Five,In stock (16 available)
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,Sequential Art,Two,In stock (16 available)
I am a Hero Omnibus Volume 1,54.63,Sequential Art,Three,In stock (16 available)
How to Be Miserable: 40 Strategies You Already Use,46.03,Self Help,One,In stock (16 available)
Her Backup Boyfriend (The Sorensen Family #1),33.97,Romance,One,In stock (16 available)
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,Sequential Art,Two,In stock (16 available)
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,Historical Fiction,Three,In stock (16 available)
First and First (Five Boroughs #3),15.97,Romance,Four,In stock (16 available)
Fifty Shades Darker (Fifty Shades #2),21.96,Romance,One,In stock (16 available)
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,Nonfiction,Two,In stock (16 available)
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,Religion,Two,In stock (16 available)
Danganronpa Volume 1,51.99,Sequential Art,Four,In stock (16 available)
Crown of Midnight (Throne of Glass #2),43.29,Fantasy,Three,In stock (16 available)
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,Sequential Art,Four,In stock (16 available)
Camp Midnight,17.08,Sequential Art,Four,In stock (16 available)
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,Nonfiction,Five,In stock (16 available)
Burning,28.81,Young Adult,Three,In stock (16 available)
Bossypants,49.46,Default,Two,In stock (16 available)
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,Sequential Art,Two,In stock (16 available)
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,Fantasy,Two,In stock (16 available)
Algorithms to Live By: The Computer Science of Human Decisions,30.81,Nonfiction,One,In stock (16 available)
A World of Flavor: Your Gluten Free Passport,42.95,Default,One,In stock (16 available)
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,Default,Five,In stock (16 available)
A Murder in Time,16.64,Mystery,One,In stock (16 available)
A Flight of Arrows (The Pathfinders #2),55.53,Historical Fiction,Five,In stock (16 available)
A Fierce and Subtle Poison,28.13,Young Adult,Four,In stock (16 available)
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,Fantasy,One,In stock (16 available)
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,Christian,Five,In stock (16 available)
You Are What You Love: The Spiritual Power of Habit,21.87,Religion,Four,In stock (15 available)
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,Science Fiction,Four,In stock (15 available)
Tuesday Nights in 1980,21.04,Fiction,Two,In stock (15 available)
Tracing Numbers on a Train,41.6,Default,Three,In stock (15 available)
Throne of Glass (Throne of Glass #1),35.07,Fantasy,Three,In stock (15 available)
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,History,One,In stock (15 available)
Thirteen Reasons Why,52.72,Default,One,In stock (15 available)
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,58.08,Childrens,Four,In stock (15 available)
The Wedding Dress,24.12,Romance,One,In stock (15 available)
The Vacationers,42.15,Fiction,Four,In stock (15 available)
The Third Wave: An Entrepreneur’s Vision of the Future,12.61,Business,Five,In stock (15 available)
The Stranger,17.44,Philosophy,Four,In stock (15 available)
The Shadow Hero (The Shadow Hero),33.14,Sequential Art,One,In stock (15 available)
The Secret (The Secret #1),27.37,Default,Four,In stock (15 available)
The Regional Office Is Under Attack!,51.36,Fiction,Five,In stock (15 available)
The Psychopath Test: A Journey Through the Madness Industry,36.0,Default,Two,In stock (15 available)
The Project,10.65,Science Fiction,One,In stock (15 available)
The Power of Now: A Guide to Spiritual Enlightenment,43.54,Nonfiction,Two,In stock (15 available)
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,Nonfiction,Two,In stock (15 available)
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,Food and Drink,Five,In stock (15 available)
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,Mystery,Four,In stock (15 available)
The Mistake (Off-Campus #2),43.29,New Adult,Three,In stock (15 available)
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,New Adult,One,In stock (15 available)
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,Food and Drink,Two,In stock (15 available)
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,Crime,One,In stock (15 available)
The Kite Runner,41.82,Default,Four,In stock (15 available)
The House by the Lake,36.95,Historical Fiction,One,In stock (15 available)
The Glittering Court (The Glittering Court #1),44.28,Fantasy,One,In stock (15 available)
The Girl on the Train,55.02,Default,Two,In stock (15 available)
The Genius of Birds,17.24,Nonfiction,One,In stock (15 available)
The Emerald Mystery,23.15,Default,Two,In stock (15 available)
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,Food and Drink,One,In stock (15 available)
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,Default,Three,In stock (15 available)
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,Nonfiction,Five,In stock (15 available)
The Art of War,33.34,Default,Five,In stock (15 available)
The Argonauts,10.93,Autobiography,Two,In stock (15 available)
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,Business,Three,In stock (15 available)
Suddenly in Love (Lake Haven #1),55.99,Romance,Two,In stock (15 available)
Something More Than This,16.24,Romance,Four,In stock (15 available)
Soft Apocalypse,26.12,Science Fiction,Two,In stock (15 available)
So You've Been Publicly Shamed,12.23,Nonfiction,Two,In stock (15 available)
Shoe Dog: A Memoir by the Creator of NIKE,23.99,Business,Two,In stock (15 available)
"Shobu Samurai, Project Aryoku (#3)",29.06,Add a comment,Three,In stock (15 available)
Secrets and Lace (Fatal Hearts #1),20.27,Default,One,In stock (15 available)
Scarlett Epstein Hates It Here,43.55,Young Adult,Five,In stock (15 available)
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,Default,One,In stock (15 available)
Redeeming Love,20.47,Christian Fiction,Five,In stock (15 available)
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,Default,One,In stock (15 available)
Poems That Make Grown Women Cry,14.19,Poetry,Four,In stock (15 available)
"Nightingale, Sing",38.28,Young Adult,One,In stock (15 available)
Night Sky with Exit Wounds,41.05,Poetry,One,In stock (15 available)
Mrs. Houdini,30.25,Historical Fiction,Five,In stock (15 available)
Modern Romance,28.26,Add a comment,Five,In stock (15 available)
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),10.76,Default,One,In stock (15 available)
Louisa: The Extraordinary Life of Mrs. Adams,16.85,Biography,Two,In stock (15 available)
Little Red,13.47,Childrens,Three,In stock (15 available)
Library of Souls (Miss Peregrine’s Peculiar Children #3),48.56,Young Adult,Five,In stock (15 available)
Large Print Heart of the Pride,19.15,Default,Two,In stock (15 available)
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,Womens Fiction,Four,In stock (15 available)
Hollow City (Miss Peregrine’s Peculiar Children #2),42.98,Fantasy,One,In stock (15 available)
Grumbles,22.16,Default,Two,In stock (15 available)
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,Travel,Four,In stock (15 available)
Frostbite (Vampire Academy #2),29.99,Young Adult,Five,In stock (15 available)
Follow You Home,21.36,Horror,One,In stock (15 available)
First Steps for New Christians (Print Edition),29.0,Default,One,In stock (15 available)
Finders Keepers (Bill Hodges Trilogy #2),53.53,Fiction,Five,In stock (15 available)
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,Sequential Art,Four,In stock (15 available)
Eureka Trivia 6.0,54.59,Default,Four,In stock (15 available)
Drive: The Surprising Truth About What Motivates Us,34.95,Default,Four,In stock (15 available)
Done Rubbed Out (Reightman & Bailey #1),37.72,Default,Five,In stock (15 available)
Doing It Over (Most Likely To #1),35.61,Romance,Three,In stock (15 available)
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,Food and Drink,Three,In stock (15 available)
Dark Notes,19.19,Erotica,Five,In stock (15 available)
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,Nonfiction,Three,In stock (15 available)
Close to You,49.46,Christian Fiction,Four,In stock (15 available)
Chasing Heaven: What Dying Taught Me About Living,37.8,Spirituality,Two,In stock (15 available)
Big Magic: Creative Living Beyond Fear,30.8,Nonfiction,Three,In stock (15 available)
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,Nonfiction,Two,In stock (15 available)
Beauty Restored (Riley Family Legacy Novellas #3),11.11,Default,Two,In stock (15 available)
Batman: The Long Halloween (Batman),36.5,Sequential Art,Two,In stock (15 available)
Batman: The Dark Knight Returns (Batman),15.38,Sequential Art,Five,In stock (15 available)
Ayumi's Violin,15.48,Default,Two,In stock (15 available)
Anonymous,46.82,Default,Four,In stock (15 available)
Amy Meets the Saints and Sages,18.46,Default,Three,In stock (15 available)
Amid the Chaos,36.58,Cultural,One,In stock (15 available)
Amatus,50.54,Default,Five,In stock (15 available)
Agnostic: A Spirited Manifesto,12.51,Nonfiction,Five,In stock (15 available)
Zealot: The Life and Times of Jesus of Nazareth,24.7,History,Three,In stock (14 available)
You (You #1),43.61,Thriller,Five,In stock (14 available)
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,Sequential Art,Four,In stock (14 available)
Wild Swans,14.36,Young Adult,Two,In stock (14 available)
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,Politics,Four,In stock (14 available)
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,Nonfiction,Four,In stock (14 available)
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,Nonfiction,Two,In stock (14 available)
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,Sequential Art,One,In stock (14 available)
Walt Disney's Alice in Wonderland,12.96,Childrens,Five,In stock (14 available)
V for Vendetta (V for Vendetta Complete),37.1,Default,Four,In stock (14 available)
Until Friday Night (The Field Party #1),46.31,Young Adult,Two,In stock (14 available)
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,Default,Two,In stock (14 available)
Twenty Yawns,22.08,Childrens,Two,In stock (14 available)
Through the Woods,25.38,Sequential Art,Two,In stock (14 available)
This Is Where It Ends,27.12,Young Adult,Two,In stock (14 available)
The Year of Magical Thinking,43.04,Nonfiction,Two,In stock (14 available)
The Wright Brothers,56.8,Default,Four,In stock (14 available)
The White Queen (The Cousins' War #1),25.91,Add a comment,Five,In stock (14 available)
The Wedding Pact (The O'Malleys #2),32.61,Romance,Three,In stock (14 available)
The Time Keeper,27.88,Fiction,Five,In stock (14 available)
The Testament of Mary,52.67,Fiction,Four,In stock (14 available)
